local_id,scope_label,shortName,vat_id,legalName,wikidata_id,url
1,UY,OSM,wd:P2657:365969219933-54,OpenStreetMap Foundation,6542248,https://www.osmfoundation.org/
2.UY,Correo Uruguayo,,Correo Uruguayo,5172888,https://www.correo.com.uy
